#id,title,author,keyword 1,keyword 2,year,venue,,,,,,
a010046,Entwurf - Datenpublikation � Workflows f�r die Archivierung und Publikation wissenschaftlicher Forschungsdaten in RADAR,Ziedorn, Frauke,Forschungsdaten,,2014,,,,,,
a010047,ForscherInnen gemeinsam neue Wege im Web er�ffnen � Das Open Science Lab der TIB Hannover,Heller, Lambert,Open Science,,2012,,,,,,
a010048,Forschungsinformationen verlinken mit Open Data und VIVO-Ontologien,Heller, Lambert,Forschungsinformationssysteme,VIVO,2014,6th International Conference on Qualitative and Quantitative Methods in Libraries (QQML), 27-30 May 2014,,,,
a010049,Forschungsinformationssysteme in Hochschulen und Forschungseinrichtungen - Request for Comments,Heller, Lambert,Forschungsinformationssysteme,,2014,,,,,,
a01005,A real-worl Implementation of Multi-Project Management at the German National Library of Science and Technology,Daberkow, Debora D.,Projektmanagement,,2014,Archiving 2014,,,,,
a01005,A real-worl Implementation of Multi-Project Management at the German National Library of Science and Technology,Rosemann, Uwe,Projektmanagement,,2014,Archiving 2014,,,,,
a010050,Freie Lizenzen und Nachnutzung,Tullney, Marco,Lizenzierung,,2014,,,,,,
a010051,From Point Clouds to Definitions of Architectural Space - Potentials of Automated Extraction of Semantic Information from Point Clouds for the Building Profession,Bl�mel, Ina,Punktwolken,3D,2013,International Federation of Library Associations and Institutions Congress 2013 (IFLA) 17. bis 23. August 2013 in Singapur,,,,,
a010052,GRASS GIS, Star Trek and old Video Tape � a reference case on audiovisual preservation for the OSGeo communities,L�we, Peter,Langzeitarchivierung,GIS,2014,Geophysical Research Abstracts, Vol. 16, EGU2014-10027,2014, EGU General Assembly 2014
a010052,GRASS GIS, Star Trek and old Video Tape ﾖ a reference case on audiovisual preservation for the OSGeo communities,Plank, Margret,Langzeitarchivierung,GIS,2014,Geophysical Research Abstracts, Vol. 16, EGU2014-10027,2014, EGU General Assembly 2014
a010052,GRASS GIS, Star Trek and old Video Tape ﾖ a reference case on audiovisual preservation for the OSGeo communities,Ziedorn, Frauke,Langzeitarchivierung,GIS,2014,Geophysical Research Abstracts, Vol. 16, EGU2014-10027,2014, EGU General Assembly 2014
a010053,"Interview �ber die Ergebnisse des Workshops der ehemaligen Kommission f�r Management und betriebliche Steuerung des VDB zum Thema �Bibliotheken auf dem Holzweg? - Unsere Kernkompetenzen und die Konsequenzen"".",Huesmann, Anna-Maria,Bibliothek,,,,,,,,
a010054,Learning - connecting - relaxing: TIB/UB, relaunching the public spaces.,Franzkowiak, Anette,Bibliotheksbau,,2013,,,,,
a010055,Licensing of scientific audiovisual media in Germany,Brehm, Elke,Nicht-Textuelle Materialen,Lizenzierung,2012,,,,,,
a010056,Linked Heritage - ein europ�isches Projekt,Mensing, Petra,Europeana,,2013,,,,,,
a010057,Literaturauswahl und -bestellung leichter gemacht!,Tempel, Bernhard,Dokumentlieferung,,2014,,,,,,
a010058,Metadaten f�r Open Educational Resources (OER). Eine Handreichung f�r die �ffentliche Hand, erstellt von der Technischen Informationsbibliothek (TIB).,Derr, Elena,Metadaten,Open Educational Resources,2013,,,,,
a010058,Metadaten f�r Open Educational Resources (OER). Eine Handreichung f�r die �ffentliche Hand, erstellt von der Technischen Informationsbibliothek (TIB).,Neumann, Janna,Metadaten,Open Educational Resources,2013,,,,,
a010058,Metadaten f�r Open Educational Resources (OER). Eine Handreichung f�r die �ffentliche Hand, erstellt von der Technischen Informationsbibliothek (TIB).,Ziedorn, Frauke,Metadaten,Open Educational Resources,2013,,,,,
a010059,Move beyond text oder Riding the Wave,Sens, Irina,Big Data,,2012,,,,,,
a01006,Allgemeine Herausforderungen an das Personalmanagement in Bibliotheken,N�rnberger, Dorothee,Personalmanagement,,,,,,,,
a010060,Open Access,Tullney, Marco,Open Access,,2014,,,,,,
a010061,Open Access - Was sagen die Bibliotheken?,Rosemann, Uwe,Open Access,,2012,,,,,,
a010062,Open Access Activities of the German National Library of Science and Technology; SCOAP3-DH and arXiv-DH,Brehm, Elke,Open Access,,2012,,,,,,
a010062,Open Access Activities of the German National Library of Science and Technology; SCOAP3-DH and arXiv-DH,Rosemann, Uwe,Open Access,,2012,,,,,,
a010063,Open Access Week - Open Access f�r Geisteswissenschaftler?,Tempel, Bernhard,Open Access,,2012,,,,,,
a010064,Open Access, Open Content und gemeinfreies Kulturerbe,Heller, Lambert,Open Access,,2013,,,,,
a010065,Passive und naive Helden. Georg Luk�cs als Kritiker der Trag�die Gerhart Hauptmanns,Tempel, Bernhard,Literaturwissenschaft,,2014,,,,,,
a010066,Peer-to-peer und Dezentralit�t - von den Wurzeln des Netzes zu den aktuellen Trends,Heller, Lambert,Kollaboration,Open Science,2011,,,,,,
a010067,Pr�sentationsfolien als Buch - wer braucht das?,Tempel, Bernhard,Publizieren,,,,,,,,
a010068,Publikationsberatung: Neun Thesen vom #iCamp12,Heller, Lambert,Nutzungsrechte,Publizieren,2012,,,,,,
a010069,RADAR � Ein Forschungsdaten-Repositorium als Dienstleistung f�r die Wissenschaft,Neumann, Janna,Forschungsdaten,,2014,,,,,,
a01007,Archive ohne Grenzen. Erschlie�ung und Zugang im europ�ischen und internationalen Kontext.,Nebelung, Lars,Archiv,Erschlie�ung,2014,,,,,,
a010070,RADAR Metadata Kernel with attribute values and controlled vocabularies,Kraft, Angelina,Forschungsdaten,Metadaten,2014,,,,,,
a010070,RADAR Metadata Kernel with attribute values and controlled vocabularies,Neumann, Janna,Forschungsdaten,Metadaten,2014,,,,,,
a010070,RADAR Metadata Kernel with attribute values and controlled vocabularies,Ziedorn, Frauke,Forschungsdaten,Metadaten,2014,,,,,,
a010071,Res�mee: Was bleibt mir von dieser Tagung ?,Nebelung, Lars,Archiv,,2014,CRIS2014 Conference: Full Papers,,,,,
a010072,Schlesien versus Sparta. Gerhart Hauptmanns Besinnung auf schlesische Identit�t im Kontext der Rassenideologie,Tempel, Bernhard,Literaturwissenschaft,,2013,11th euroCRIS Strategic Seminar,,,,,
a010073,Sch�ler erforschen Leses�le selbst / Erfolgskonzept Aktivierende Sch�lerf�hrungen an der TIB/UB Hannover,Koch, Kati,Informationskompetenz,,,,,,,,
a010073,Sch�ler erforschen Leses�le selbst / Erfolgskonzept Aktivierende Sch�lerf�hrungen an der TIB/UB Hannover,Warlich, Hardy,Informationskompetenz,,,,,,,,
a010074,Scientific 3D Printing with GRASS GIS,L�we, Peter,3D Druck,GIS,2014,Science 2.0 Conference,,,,,
a010075,Semantische Suche nach wissenschaftlichen Videos. Automatische Verschlagwortung durch Named Entity Recognition,Plank, Margret,Semantische Suche,,2014,,,,,,
a010075,Semantische Suche nach wissenschaftlichen Videos. Automatische Verschlagwortung durch Named Entity Recognition,Strobel, Sven,Semantische Suche,,2014,,,,,,
a010076,Sieben Gr�nde Zotero auszuprobieren,Heller, Lambert,Literaturverwaltung,,2012,,,,,,
a010077,Speicherung & Datenverwaltung in Produktion und Archiv,B�hr, Thomas,Datenverwaltung,Archiv,2014,,,,,,
a010078,Summe meeting program finalised,Brase, Jan,DataCite,DOI,2012,,,,,,
a010079,Taming the Wilderness of Open Research Information,Birke, Gabriel,Forschungsinformationssysteme,,,,,,,,
a010079,Taming the Wilderness of Open Research Information,Bl�mel, Ina,Forschungsinformationssysteme,,,CIDOC 2014,,,,,
a01008,arXiv - Die TIB �bernimmt zentrale Finanzierung f�r deutsche Hochschulen,Tobschall, Esther,Open Access,,2012,,,,,,
a010080,TIB's Portal for audiovisual media - New ways of indexing and retrieval,Plank, Margret,Nicht-Textuelle Materialen,,2014,Das deutsche Kulturerbe in Schlesien. Wege und Perspektiven der Forschung / hrsg. von Anna Ma_ko-Matysiak, Eef Overgaauw u. Tobias Weger. M�nchen 2014 (Schriften des Bundesinstituts f�r Kultur und Geschichte der Deutschen im �stlichen Europa 51),,,,
a010081,Technische Informationsbibliothek - Dienstleistungen der digitalen Bibliothek (russischsprachig),Roscoe, Elena,Digitale Bibliothek,,2013,,,,,,
a010082,The DeLiVerMATH project: Towards virtual research environments in mathematics,L�we, Peter,Virtuelle Forschungsumgebung,,2014,,,,,,
a010083,The Development of TIB Full Text Supply Services against the background of German Copyright Law,Brammer, Markus,Nutzungsrechte,,2012,WissKom2012 - Vernetztes Wissen - Daten, Menschen, Systeme. 6. Konferenz der Zentralbibliothek des Forschungszentrums J�lich,,,
a010083,The Development of TIB Full Text Supply Services against the background of German Copyright Law,Olf, Jens,Nutzungsrechte,,2012,WissKom2012 - Vernetztes Wissen - Daten, Menschen, Systeme. 6. Konferenz der Zentralbibliothek des Forschungszentrums J�lich,,,
a010084,The DURAARK Project ﾖ Long-Term Preservation of Architectural 3D-Data,Lindlar, Michelle,Langzeitarchivierung,3D,2013,13th Interlending and Document Supply Conference,,,,,
a010084,The DURAARK Project ﾖ Long-Term Preservation of Architectural 3D-Data,Saemann, Hedda,Langzeitarchivierung,3D,2013,13th Interlending and Document Supply Conference,,,,,
a010085,The Quest for Research Information,Bl�mel, Ina,Forschungsinformationssysteme,,2014,Proceedings of the 11th International Conference on Digital Preservation,,,,,
a010085,The Quest for Research Information,Heller, Lambert,Forschungsinformationssysteme,,2014,Proceedings of the 11th International Conference on Digital Preservation,,,,,
a010085,The Quest for Research Information,Mehlberg, Martin,Forschungsinformationssysteme,,2014,Proceedings of the 11th International Conference on Digital Preservation,,,,,
a010086,TIB's action for research data management as a national library's strategy (Keynote),L�we, Peter,Forschungsdaten,,2014,FOSSGIS 2014,,,,,
a010087,TIB's Portal for Audiovisual Media: Combining Manual and Automatic Indexing,Lichtenstein, Anna,Nicht-Textuelle Materialen,,2014,,,,,,
a010087,TIB's Portal for Audiovisual Media: Combining Manual and Automatic Indexing,Neumann, Janna,Nicht-Textuelle Materialen,,2014,,,,,,
a010087,TIB's Portal for Audiovisual Media: Combining Manual and Automatic Indexing,Plank, Margret,Nicht-Textuelle Materialen,,2014,,,,,,
a010088,Towards an automatic multi-label classification of 3D architectural models,Bl�mel, Ina,3D,Erschlie�ung,2013,iPRES2013 - 10th International Conference on Preservation of Digital Objects,,,,,
a010089,VisInfo - Visueller Zugang zu Forschungsdaten,Koepler, Oliver,Forschungsdaten,Visuelle Suche,2013,,,,,,
a010089,VisInfo - Visueller Zugang zu Forschungsdaten,Sens, Irina,Forschungsdaten,Visuelle Suche,2013,,,,,,
a01009,arXiv - Veteran und Vorreiter,Tobschall, Esther,Open Access,,2012,,,,,,
a010090,VIVO for Scientific Communities - Making researchers & their activities discoverable,Bl�mel, Ina,Forschungsinformationssysteme,VIVO,2014,Proceedings of the 14th International Conference of Knowledge Technologies and Data-driven Business. Graz, Austria, 16.-19. September 2014,,,
a010090,VIVO for Scientific Communities - Making researchers & their activities discoverable,Heller, Lambert,Forschungsinformationssysteme,VIVO,2014,Proceedings of the 14th International Conference of Knowledge Technologies and Data-driven Business. Graz, Austria, 16.-19. September 2014,,,
a010091,Wissen auf einen Klick,Heller, Lambert,Open Access,,2014,,,,,,
a010091,Wissen auf einen Klick,Tullney, Marco,Open Access,,2014,,,,,,
a010092,Wissenschaft online, aber wie?,Brehm, Elke,Open Science,,2012,,,,,
a010093,Wow, someone wants to publish me! ﾗ Revisited,Heller, Lambert,Nutzungsrechte,,2012,,,,,
